,XGBoost,LightGBM,CatBoost,GrootCV,GrootCV.fastshap,Boruta_Shap,Boruta_rf,arfsfs,Pymrmr
247,ZNF362,ARC,C1orf125,CTXN3,EIF2B4,PKD2,SNORD17,OSGEP,ANLN
248,SPTAN1,PRUNE2,C1orf124,ABCB7,LRRC70,CCNB2,KCNN3,ABAT,SPHKAP
249,SCGB2A2,ACVR1C,C1orf127,FOXJ2,GSTM2,ALDH1A2,FAM84A,LOC100129637,EPR1
250,SNORA36A,UBA52,C1orf126,FAM189A2,LOXL2,LOC134466,SESN1,ZNF780A,OVCH2
251,UCHL1,SCRG1,LIMA1,TGFBR2,GSN,PGM5,SNORD16,ZNF780B,CXCL2
252,UCHL3,CPA6,RNF186,CSN1S1,ABCB7,PARK2,FAM84B,TLN2,NCAPG
253,TERT,FLRT2,CDC14C,RPL23AP53,GUCY2C,SLC7A14,SESN2,FRG1,RECQL4
254,GPSM1,C6orf142,RIC8A,NR3C1,RIC3,GCOM1,GSC2,FRG2,MRAS
255,SLC4A10,RBMS3,ZNF143,GNAL,KLHL29,FAM122A,C21orf15,RHEBL1,PTTG1
256,LOC339674,KIAA1644,EHBP1,JPH4,KCTD12,CYYR1,SPG11,ZNF41,PPEF1
257,PDE6G,TTC39A,BAHCC1,THBD,CORO2B,SPTBN1,WFDC1,IFT80,OR10A3
258,GPSM3,TYRP1,SH2D3A,MATN3,RAD54L2,ADH1B,PBLD,FBRS,ACSM5
259,GYLTL1B,HOXA11,GAGE8,GLRA4,ATP1A2,DDX39,THAP7,ZNF414,ANGPTL5
260,PRELID2,TSC22D2,RNU5E,GSTM5,CAV3,TK1,ZNF101,IFT88,PACSIN1
261,ZIC2,HNRNPA2B1,GUSBL2,ANGPTL1,RGS6,SPARCL1,VPS26B,IL10RA,SKA3
262,NBAS,HAS2,LOC100190938,ACSS2,INMT,LOC283392,IL1F8,POU5F1B,C1QTNF9B
263,PCBD1,KIAA0652,OR52I2,NBPF7,TP63,GHR,CHID1,SP1,PPARG
264,TCHP,TSC22D1,GUSBL1,FHL1,PTGFR,PPP1CA,GHSR,SLC27A4,OIP5
265,RPS27,HIST1H4D,GEM,HELLS,PIRT,TRPM3,IL1F7,SP2,SH3D19
266,FLJ14107,CMTM5,MS4A8B,LIF,ST5,LDB2,IL1F5,OLA1,FEZF2
267,KRTAP9-2,PDE6B,RINL,DCT,STAB2,GSN,PLUNC,PNOC,MMD
268,C16orf80,IL6,JMJD1C,RPL31,C15orf52,ANKRD53,OR6C3,CNTF,FAM196B
269,C16orf81,PLAGL1,SYT14,LOXL4,ADRA1A,MAOA,PROK2,MCM10,CKAP2L
270,C16orf88,FAM95B1,SYT17,RNF10,QKI,DNAJB4,MAGEA3,PDIA5,UNC5B
271,C16orf89,CYHR1,DDT,RTN4RL2,INPP1,DEFB132,TRIM15,SP4,ACACB
272,MSGN1,ATP13A5,OR52I1,KCNE1,FBXO43,FAM196B,FUZ,TMEM38B,C10orf90
273,SKI,RFTN2,SYT11,EDNRB,LOC728264,THRB,FAM58B,THUMPD3,SLC20A1
274,CCDC163P,FAM19A3,PCDHGA4,GRIN2B,PPP1CA,C21orf34,LOC285033,IGFBPL1,CCDC50
275,CLVS1,ISLR2,LOC148189,C4orf10,TSHZ2,H2AFZ,MUC17,SP5,LDB2
276,FLJ25758,FOSB,RWDD1,GSN,ANGPT4,SKA3,PPIAL4B,ATG4C,METTL7A
277,PCDHGB4,GPNMB,DRD1,CTNNB1,NBPF7,C20orf194,OR5K4,ATG4B,ADCYAP1R1
278,HRAS,OSTCL,BCS1L,SNCA,TMEM132C,AP1S1,LOC100130386,ATG4A,FOXM1
279,PCDHGB5,GAMT,SNORD88C,TRIM11,ITGB8,TLCD1,LGALS14,THUMPD2,CDH20
280,APBB1IP,PALM2,SPATA22,TUBG1,COL25A1,WISP1,PIK3C2A,LOC441208,DACT2
281,EIF3IP1,SLC9A6,DDX39,NR2F2,ABCA5,ANXA1,THAP6,ATG4D,LIFR
282,CLVS2,C21orf121,PCDHGA7,FAM89A,LOC100302401,C8orf30A,OXCT2,PHOX2A,DPP3
283,C16orf82,SPRY4,PCDHGA9,SRPX,GRIA4,SAMD5,NIPAL1,PHOX2B,ATOH8
284,CLDND1,HOXA2,PCDHGA6,C13orf36,CCDC141,GPIHBP1,UCN3,SNORD114-31,MKI67
285,C16orf87,ZSWIM6,LAMC1,GATA3,RNF10,MAP1LC3C,ZNF329,SNORD114-30,ADAMTSL2
286,BICC1,BMP2,LAMC3,KLHL33,GFAP,NUP62,MAGEA2,LRGUK,DENND2A
287,GUSBL2,COL1A2,DDC,TANK,FGF2,MUC1,MAGEA1,MPHOSPH8,TRIM11
288,RIC8A,DLX6AS,DTNBP1,LOC728024,LOC728024,EGFR,MAGEA6,UPK2,ATP1A2
289,LOC100190938,?|90288,DDN,ELOVL6,PRR19,ZFP106,MAGEA4,CFH,CD34
290,GUSBL1,KCNAB1,DDO,TRIM59,TXNIP,AURKB,TEX13B,CFI,LEF1
291,GEM,ARFIP2,SYT16,TTC9C,PROL1,ABCD2,RDH8,PNP,KIF14
292,MS4A8B,CALCOCO2,SYT10,CTSW,BTNL9,ANGPTL1,EEA1,ANKFY1,NDRG2
293,RINL,GDF15,RNF181,KCNMB1,EIF3L,ASPA,MSL1,C1orf14,TACC3
294,JMJD1C,TSHZ3,SIGLEC9,C5orf41,TSTA3,TDO2,ZCCHC10,CFB,GNAI1
295,SYT14,PUS10,EIF3IP1,LPL,GSTM2P1,C9orf125,GCDH,OR5P3,FBXW7
296,SYT17,DIRAS3,CLVS2,ITPRIPL1,KLHL33,HSPB6,DAO,OR5P2,ADRB2
297,SYT16,C6orf138,ZBTB24,ATP6V1C2,GPRIN1,PAFAH1B3,SNUPN,MLLT4,C3orf36
298,SYT11,ELN,CLVS1,DSC1,LEPROT,UTRN,HOMER2,SNORD115-6,CDCA8
299,SYT10,CNN1,ZBTB20,TMEM132C,DUSP23,KIF2C,PRO0628,CREBBP,HADH
300,SYT13,FOXA1,RBX1,SH3D19,ABCB1,C16orf59,WFDC9,PNN,HOXA4
301,SYT12,NALCN,ZBTB22,MESTIT1,ASB1,N4BP2L1,ZNF681,PHYHIPL,BIRC5
302,ZBTB24,LOC100130331,SPESP1,STAU2,C6orf35,DLK2,SNORD19B,ATP6V0E1,NMT2
303,ZBTB20,DKK3,PCDHGB5,GPIHBP1,JPH4,TXNIP,SLC40A1,ATP6V0E2,NEIL3
304,RPS26,RPE65,PNPO,NHEJ1,KCNT2,AKAP2,RPL29,RNF128,COL1A1
305,ACSM2B,CARM1,BMPR2,CORO2B,FOXO1,AQP7P1,NBN,CFP,USP44
306,OR11L1,SLC4A4,CHMP2A,PRR19,SRPX,COL17A1,TMTC2,AAAS,CAPN11
307,UBE2K,FAT1,C8orf12,CDH8,C21orf34,LSM4,SCARNA10,HAMP,PIK3R2
308,P2RY4,TMEM20,RNF182,ADH5,HOXA9,DPT,ACTR1B,ZNF394,RUSC1
309,SSX8,SLITRK2,RNF183,RYR3,MYOM1,Max_Shadow,LOC100133469,SIDT1,MOCS1
310,TJP1,CNKSR2,PCDHGB1,PENK,OLR1,PALM2-AKAP2,FRRS1,SERPINA10,PROC
311,PIN4,PTPN23,APBB1IP,HEPACAM,ABCA10,WDR62,ARL16,SIDT2,KIF23
312,SNORA12,NUDT7,HRAS,GEMIN6,ANGPTL7,FAM107A,ARL14,SNORD115-7,EZH1
313,ACSM2A,LOC284688,SYT13,CXCR4,HAPLN4,CYP2U1,SLFN12L,TAF8,HS3ST4
314,RBX1,BTBD18,C16orf81,C2orf88,GRM4,PCNX,ARL10,PISRT1,C18orf34
315,CLNK,DUSP6,SYT12,CES2,TRIM11,ADH1C,CD164,SIX4,GRIN2B
316,C2orf34,COL27A1,BICC1,IGF1,HS3ST4,E2F8,TSGA13,LOC283070,C14orf180
317,C2orf39,LAMB3,C16orf87,CDC42EP3,RPL31,CD36,IFIH1,SIX6,TSTA3
318,SNORA19,NDEL1,CLDND1,TRIM46,LIF,DAB2IP,ACTL6B,PM20D1,FZD4
319,AUP1,TCEAL7,C16orf82,POU3F3,THBD,GPR172A,SNORD87,MR1,LLGL2
320,CLN8,FZD8,KRTAP9-2,IL33,SLC4A1,ACACB,EIF5,MGC4473,ESCO2
321,XK,PDCD4,C16orf80,GABRA4,RTN4RL2,CCNA2,RBMY1J,SIX3,CCNB1
322,TOR1AIP2,FAM108B1,MFF,BAI3,RNASE7,ADH4,FAM176B,SNORD115-4,LOC201651
323,OR51I1,PRRG3,PCDHGB4,PIK3R2,C20orf103,DIXDC1,LRRC25,WASH3P,CNN1
324,OR51I2,PYGM,C16orf88,CHRNA1,UNC5B,PTBP1,LOC100129550,CNPY4,CST1
325,SFXN5,CBLN2,C16orf89,TSPAN8,ODC1,PLIN1,HIST1H4C,CNPY3,EHBP1
326,ZBTB22,SFRP2,MSGN1,C9orf125,ATP1B2,USP44,RGS17,CNPY2,PFKFB1
327,SIGLEC9,ARL4C,SKI,ALDH1L1,TGFBR2,UNC5B,OR10S1,CNPY1,RAX2
328,SPESP1,SLC25A4,FLJ14107,GPR109A,PCOLCE2,ADAM33,RGPD8,NODAL,CDC20
329,PNPO,ACOX2,CCDC163P,ASB1,RASL12,ARRDC3,HIST1H4A,SYNJ1,SOX12
330,BMPR2,CCDC82,FLJ25758,FAM126A,HELLS,GPR144,MOB2,KNDC1,CLDND2
331,CHMP2A,GOLIM4,CASP8,RARB,CTSW,MEOX2,HIST1H4F,HMG20A,EZH2
332,C8orf12,KLF5,MMRN1,LOC342346,POLR3K,NVL,SNORD86,HMG20B,FXYD1
333,RNF182,SAA4,LSG1,FBXL22,RPL23AP53,FAM126A,HYALP1,PHOSPHO2,CLEC5A
334,RNF183,SFRS13B,KCNB2,NCRNA00086,MATN3,TMEM132C,GCHFR,AAGAB,SBDS
335,PCDHGB1,PCDHB19P,ZG16,RBP4,FREM1,FOXN3,RPL7A,C4orf19,ITPRIPL1
336,RNF181,KCNA6,SNORD93,DDX39,CHRNA6,RTKN2,C22orf42,C3orf79,MRAP
337,RNF186,FOXF1,HNRNPUL1,MIMT1,ACAN,RBMS3,SNORD114-18,SLC7A6OS,GTSE1
338,RNF187,SPATA20,HNRNPUL2,GLP2R,C7orf58,PLD5,GAGE13,C3orf77,CLEC4G
339,LIMA1,FRMPD1,KIAA2013,SLC25A19,PENK,BUB1B,RAB39,C3orf75,ZNF668
340,RNF185,C8orf45,SNORD97,RBM17,ALDH1L1,F8,LCA5L,C3orf74,FAM83H
341,RNU5E,C20orf46,KCNB1,CCDC8,KIT,SLIT3,GLRA2,C4orf10,GPR109A
342,GAGE8,CDK20,NRSN1,RNF13,KIAA0226,MMD,DOK5,C3orf72,KCNB1
343,SH2D3A,EPHB1,DEGS2,NPR1,AGAP11,PBK,RAB24,C3orf71,PLCZ1
344,PDGFC,ELF4,KIAA2018,SLC19A3,ABLIM1,TF,C6orf227,C3orf70,C16orf75
345,SAPS1,UMPS,SNORD99,KIAA0141,BMP2,KL,CETN4P,ZNF285,MAMDC2
346,OR6N1,R3HCC1,SNORD98,ATL2,JTB,NDRG2,PDX1,MRO,C14orf139
347,PDZK1,GARS,SIGLEC15,NRG1,KLHL31,ARID5B,CAMSAP1L1,ZFP82,PAK3
348,TCHH,SLC23A1,INO80,S100B,MAB21L2,HSPB2,CA10,CHFR,SCN3A
349,TDRD3,MMP1,CGB2,MOBKL2B,CDC42EP3,WASF3,SNORD92,EFHA1,TRIM59
350,NUAK1,GORASP1,CGB1,KCTD12,TRIM35,SLC20A1,CD48,RTBDN,HOXA5
351,DSC3,TTYH1,DEGS1,DRP2,RHOJ,EXO1,ZBTB48,EFHA2,AQP7
352,OBP2A,HADHA,RBM18,HSPB6,ALG3,LOC399959,HMGB4,AAA1,TPRN
353,BAHCC1,TTC25,CGB5,MEIS2,RBM17,DPM2,RAB3B,GPR75,C4orf49
354,SERP2,TBX1,EMP2,ANKRD35,FAM13A,P4HA3,ACTL7A,NUDT9P1,GJB2
355,ZNF136,WDR20,GABRA2,PLA2R1,CLDN19,CDCA5,PEX14,SYPL2,ACADL
356,C2CD4D,STX7,AMOT,C9orf153,ANKRD35,HMMR,MGC34034,RFX8,AURKA
357,C2CD4C,LMF2,ZMAT5,PALM2-AKAP2,ZNF781,ITGA7,RGPD1,ZNF222,EEPD1
358,C2CD4B,PCDHGA2,MLYCD,GPRC5B,C9orf125,SPG20,HIST1H4D,RFX4,ALDH1L1
359,C2CD4A,P4HA1,EMP1,ADCYAP1R1,VIT,TCEAL7,SLC35B4,OR2C3,ITSN1
360,VPS28,CPNE9,NRSN2,TXNIP,ACVR1C,MPL,GTF3C6,AVPR2,TEPP
361,RNY5,CR1L,EMP3,VIT,H6PD,LRRTM2,C10orf26,RFX7,CDCA5
362,RNY4,TMEM216,ZNF519,FAT2,DRP2,AHNAK,TSG101,NRXN3,SLC7A10
363,CEACAM20,SORCS2,CLEC6A,KLHL31,OLFM1,HM13,VENTX,GPR77,GYG2
364,CEACAM21,UBE2CBP,TPRA1,C20orf103,LRRN4CL,CD302,RPL23P8,NRXN1,MPL
365,ERN1,SCN2A,PAIP1,PACSIN1,CBX7,TENC1,C10orf113,RFX3,TGFBR2
366,ERN2,LOC126536,PAIP2,IGFBP6,CENPE,SLC6A2,GTF3C3,SNORD104,FAM180B
367,KBTBD11,SHISA7,STOML3,COL25A1,FEZF2,GPC3,SNORA70C,RFPL2,TMEM63B
368,LOC440896,PLAC8L1,OSGIN1,FEZF2,PDE7B,AOC3,PRSS54,VPS37D,SBK1
369,OR6N2,UNC5B,CD22,H2AFY,CDKN1C,TOR2A,PRSS55,NLRP13,RABIF
370,TP53AIP1,SGIP1,CNTLN,LOC100302401,FMO2,BIRC5,LOC388946,APC,KLF11
371,VARS2,RAB11FIP2,CGB7,PLD5,LOC100128191,CRY2,GTF3C5,TMEM179B,GHR
372,LOC145820,SETD6,KRTAP20-3,OXTR,LOC283392,CCT3,HIST1H4K,ABCE1,KIF11
373,SS18L1,POTEH,KRTAP20-1,DKFZP434L187,TMEM100,ARHGAP19,GTF3C4,UQCRC2,FAM122A
374,MICAL2,SLC25A43,FOXK2,PPP1CA,CARS2,ZBTB16,APOA4,XPNPEP1,HPD
375,C10orf2,TAF11,RBM12,HAPLN4,NPR1,ADAMTS14,APOA5,XPNPEP2,RHPN1
376,RUSC1,ACCN2,FOXK1,OR10A6,PDE2A,STXBP6,SNORD36A,TIGD4,LMNB1
377,C10orf4,STT3B,PGM2L1,TRPM3,PTGER4,RAD51,XPO4,ZNHIT3,HBB
378,SCGB2A1,RNASE7,PAPOLG,GTDC1,GPIHBP1,SHE,BACH1,GGCX,CASP12
379,MICAL1,PMP22,SNORD116-18,QKI,SCN3A,PTPN21,XPO7,PAPLN,C6orf129
380,GPR176,FGF9,SNRNP48,G0S2,CSDC2,ESCO2,SCARNA11,ADNP,RHOXF1
381,GPR174,MRPL47,TBC1D8,LOC728723,HTR2A,NCAPH,ATXN3L,TMEM218,MMP27
382,PHF2,ADH5,NCRNA00107,STAB2,IGLON5,CIT,KRTAP19-5,STXBP6,LIPE
383,SPATA22,GABARAPL1,LOC100131434,ACSM2A,DPP6,ELAVL1,MOGAT2,KHDRBS1,GPIHBP1
384,PCDHGA4,C18orf18,GATS,RASIP1,NMT1,TMEM8A,MOGAT3,RUNDC2C,KCNE1
385,PCDHGA7,LOH3CR2A,NCRNA00105,INMT,SKA2,B3GALT1,C10orf27,KHDRBS3,MFAP2
386,PCDHGA6,NEK3,OR10X1,BBOX1,DSC1,HAGHL,TSSK2,GGCT,ESYT1
387,LAMC1,KIRREL,HNRNPH2,FMO2,CD302,FGD4,HIST1H4I,VPS37C,C3orf64
388,LAMC3,FAM150B,HNRNPH3,CDC14B,NCRNA00086,FANCI,LOC255025,STAC2,LOC388387
389,DDC,RBMS1,HNRNPH1,ACADL,ITIH5,GTSE1,IRF2,LOC283404,APCDD1
390,DTNBP1,KCNE4,VDR,CAB39L,SNCA,CCDC50,OR10T2,ZNF395,MOSC1
391,DDN,CBFA2T3,MRPS35,SYN2,FAM181A,AQP7,MOBP,STAC3,ERCC6L
392,DDO,GPR162,TBC1D2,SKA2,FAM64A,SGK2,HIST1H4L,TBL1Y,PDE1C
393,PCDHGA9,ATP8A1,ZNF271,ARF1,ZNF559,CREB3L1,CD226,LHCGR,DEPDC1B
394,OR52I1,PTPRF,SAP30BP,LY75,TUBB3,ACVR1C,RAP1GAP2,TMEM211,PCDH9
395,OR52I2,PDZD4,CGB8,CPE,ARHGAP11A,SLC2A4,SNORD91B,OR1Q1,GCOM1
396,DDT,WWTR1,MCM3APAS,ARHGEF10,POU3F3,PYGO2,PRKAG1,TMEM127,HSPB2
397,ZNF143,GXYLT2,SEL1L,BMPER,CSE1L,FAM83D,VAPA,GPR78,PITX1
398,EHBP1,MORN1,TBXA2R,SH3BGRL2,RNF13,KIF11,LEUTX,TRPA1,LOC647309
399,DDX39,TRAM1,FAM127A,HOXA2,STK24,ADH5,SENP5,VPS37B,KL
400,SNORD88C,SHF,FAM127B,LRIG3,CPNE5,CNN1,UTP20,TTC7A,KANK1
401,GPR173,MTFMT,FAM127C,GPRIN1,SASH1,PRR19,CRB1,UQCRHL,VIT
402,BCS1L,KCNK7,TRIM10,HS3ST4,FNDC1,LIMS2,GC,ZBED4,RNASEH2A
403,PHF7,IFNK,HCFC1R1,SLC5A11,ITPRIPL1,ERG,PRR25,C11orf2,ANGPTL1
404,GPR171,HTRA3,HSPA12A,MAB21L1,GPRASP2,CDC6,SMYD5,C11orf1,DNAH14
405,PPT1,PLDN,LOC84989,CACNA2D4,GJB2,SLC25A22,RPS6KA6,DPYSL5,RPE65
406,ATP6V1G1,B4GALNT2,HSPA12B,LOC283392,FGFBP1,RERGL,RPS20,DPYSL2,TMEM8A
407,ATP6V1G2,PTGIS,TBC1D7,MYEOV2,C2orf88,HOXA3,CLEC2A,DPYSL3,DEFB132
408,ATP6V1G3,HIPK2,MRPS33,PAFAH1B3,KIAA0141,EBF1,RALGAPA1,OSTM1,GPLD1
409,WWC3,MOAP1,MRPS30,WNT8A,ADAMTS1,TIMM17A,MKS1,RUNX2,ANKRD53
410,GPR179,SPSB1,MRPS31,JPH3,PCNA,NFIB,WBSCR16,C11orf9,IGSF9
411,RNF160,MRPL50,MVP,GABARAPL1,C10orf90,SHCBP1,GPR158,KRTAP10-12,RAD54L
412,CDC14A,DYNC1I1,AKR1CL1,RSPO1,CDH8,DCT,MED10,KRTAP10-11,GPX3
413,CDC14B,SEMA4B,PACRGL,COL17A1,TNFRSF10D,RAPGEF2,TTC5,KRTAP10-10,GIPC2
414,CDC14C,MPG,KIAA1432,ABCF1,MAD2L1,CENPM,SSR3,IGFBP2,MATN3
415,LOC148189,GRAMD3,RNU4ATAC,PROL1,CXCL1,CACHD1,FAM41AY1,IGFBP3,TOR3A
416,RWDD1,MMP13,RANBP3L,TMPRSS2,RSPO1,CLDN19,LOC150527,IGFBP1,GNG11
417,GSTT1,CNRIP1,KIAA1383,CSE1L,HSPB6,C7orf58,HCN3,BOP1,ALS2CR4
418,CASP2,PRG2,FAM96B,TNS1,GATA3,PDGFD,OR13C3,IGFBP7,SPC24
419,PKD1L2,ERICH1,NMD3,TUBB3,ADRB2,RBP4,F5,IGFBP4,KIAA1211
420,CASP3,TAT,HORMAD2,ENPP2,AADAC,STAB2,OR13C4,IGFBP5,PPP4C
421,NRSN2,CTAGE6,ORC4L,MAD2L1,USP2,LRRC70,C13orf28,SKP2,AADACL2
422,KCNB2,DMRT1,MAP7D2,GPR133,PABPC4L,APOA1BP,LOC100129534,TTC4,PTBP1
423,NRSN1,SEMA4G,TMEM110,HTR2A,PROC,JAM2,MIB2,CYP2R1,C2orf88
424,KIAA2018,MYO18A,KIAA1430,DLK1,CLRN3,TEF,HTR3E,CKLF,CDC45
425,SNORD99,EID1,OSBPL11,LPCAT2,GJD3,SSTR1,SLC38A8,ZNF193,SALL4
426,SNORD98,ZNF738,UTP23,NYNRIN,ZNF25,PAPPA2,HTR3A,C15orf26,BMP3
427,SIGLEC15,MMP14,TRIM17,CADPS,NMNAT2,RASSF9,SMARCA5,C15orf27,PLD5
428,INO80,MEF2C,PLCL2,OR5E1P,GPR84,OIP5,HOXD12,C15orf24,ELMOD3
429,CGB2,MT1X,ABRA,RAG2,ANGPTL1,MYCT1,SGMS2,GJA3,CCNF
430,CGB1,FLNA,RXRG,ABCB5,SPARCL1,HCN2,B3GALT6,APLNR,RAB8A
431,CGB7,C20orf202,HEPHL1,PLCZ1,EGFR,FHL1,B3GALT5,C15orf23,SAMD5
432,CGB5,ZNF365,LOC149620,TTC31,HBP1,SLC7A10,B3GALT4,C15orf21,IBSP
433,KRTAP20-3,NCRNA00086,KCTD21,PCNP,SNORA7B,MKI67,MTMR14,GJA8,ANGPT1
434,ZNF271,ATP7B,G3BP2,RNASE7,TYW3,APBA1,RAD23A,CYP8B1,NCAPH
435,CGB8,EBI3,TDRD6,THSD1,GPRC5B,EGR2,SNHG3-RCC1,C15orf28,C2orf84
436,MCM3APAS,VSNL1,OR2B6,SLC36A2,LOC342346,NECAB1,PLAC8,C15orf29,RBMS2
437,SEL1L,APLF,KIAA0528,PCOLCE2,ADCY5,ITPRIPL1,CHIC2,STMN1,CYMP
438,TBXA2R,LONRF3,MYOZ1,FAM119B,ASPA,LCA5,NCRNA00203,S1PR2,CDK5
439,KCNB1,HSBP1L1,FAM101A,H6PD,GPD1,FLAD1,KLHL20,KDM3B,NXNL1
440,SNORD97,OR2A4,FAM101B,ITGBL1,RAD54B,MRAP,C21orf59,REG1P,ABCD2
441,KIAA2013,C1orf93,?|340602,CSN3,PLD5,C4orf49,GABRR2,STK17A,OLR1
442,CD22,PTPRZ1,G3BP1,PIK3R1,LOC134466,AMOTL1,GABRR3,KDM3A,TMED3
443,EMP2,ADAR,TRIM16,WWP2,STX11,AKR1C1,C21orf54,LOC401387,RAD51
444,ZNF519,SDPR,LOC729603,CLRN3,CDC14C,EGR1,SAMM50,S1PR1,CA3
445,TPRA1,SCCPDH,PPP2R2A,EBF1,SKI,EMCN,SENP1,ZNF642,KRTAP13-4
446,PAIP1,CCDC53,MGC14436,TARS2,C4orf49,RUNDC3B,DCC,TMC4,C11orf87
447,PAIP2,P2RY11,OPRM1,COL4A3,FOS,FRMD1,RPAP1,MYO3A,HLF
448,STOML3,SPDYE1,TAZ,AQP7P1,GEMIN6,TEAD1,PDE6H,TMC6,FEZ2
449,OSGIN1,LETM1,PRPF38B,CDH19,OXTR,ELMOD3,MED12,KIAA1958,CD36
450,CNTLN,RLBP1,PRPF38A,EBF3,GOLGA6L5,C14orf139,C20orf152,APIP,ESPL1
451,HNRNPUL2,DUSP1,SLC35E4,C7orf58,FOLR1,NAALAD2,NDUFV1,TMC1,TXNIP
452,CLEC6A,GMCL1L,KCTD20,GOLGA6L5,KIF26B,LMNB1,TBC1D21,GPR15,LOC284578
453,RBM18,PLN,TEAD1,LOC415056,CACNA2D4,B4GALT3,PCIF1,TMC3,ACO1
454,DEGS2,LOC100134259,CNTNAP1,MED31,DPYSL2,CDCA4,IL17F,PKLR,ABCA9
455,DEGS1,DUSP7,TMEM111,APCDD1,FAM196B,ACSM5,RAB3GAP1,TECRL,SPINT2
456,ZG16,C4orf3,DCAF15,CECR7,NAALAD2,PTRF,MRPL16,EIF2B4,ITGA7
457,SNORD93,SFN,DCAF16,HABP4,RNF186,PKHD1L1,PTAR1,EIF2B5,ARHGAP39
458,HNRNPUL1,INSL6,DCAF17,GGTA1,DLEU2,SLC16A12,IL17A,EIF2B2,SPAG5
459,FAM127A,LEMD2,DCAF10,DPP3,IL1RAP,CCNE2,B3GALTL,EIF2B3,GABARAPL1
460,FAM127B,TAS2R46,DCAF11,PCK2,THSD7B,NUAK2,PPFIA4,EIF2B1,CUTC
461,FAM127C,GSTA1,DCAF12,ME2,LRIG3,MRGPRF,OR8G5,PRKAR2A,ATP6V0B
462,VDR,BEAN,PCOLCE2,MPZ,FTO,SLC47A2,SCARNA21,CSNK2A1P,DLGAP2
463,NCRNA00107,FUT1,APOB48R,FGFR1OP,PALM2-AKAP2,SAMD14,C7orf66,XRRA1,IGSF10
464,GATS,CA4,CCDC27,LCAT,GABARAPL1,CD34,ZNF468,C20orf56,CDCA3
465,NCRNA00105,C3orf10,CCDC24,CXCL6,BBOX1,LHFP,VCX2,C20orf54,CREB5
466,OR10X1,LARP6,CCDC25,PROS1,GTSE1,PID1,CYB561D1,TXNIP,SCN4A
467,HNRNPH2,PLEKHN1,CCDC22,CHST4,SULF1,C10orf90,GTF2H2,SLC36A4,TANK
468,HNRNPH3,SERPINA9,CCDC23,PDE7B,ADCYAP1R1,KLF9,IL1RL1,LOC389791,SKA1
469,HNRNPH1,C1orf113,TMSB4Y,BTNL9,CPEB1,INMT,IL1RL2,ZNF876P,POLR3K
470,UBXN1,ZNRF3,CCDC21,SLC2A3,ADH5,KLF6,NMS,MLF1,SCN4B
471,TBC1D8,EN1,ZNF556,FAM122A,LOC541471,CRYAB,FAM27L,QPRT,TMEM195
472,MUTYH,HSCB,FIBIN,FOLR1,MTP18,HOXA7,EIF3F,IFT140,STXBP2
473,NIT1,CXorf65,SLC35E1,GTSE1,DKFZP434L187,FHL5,SCARNA20,MLF2,CXorf36
474,UFD1L,PEX11B,BHLHE22,SSPN,CXCL6,ESPL1,LHX8,TMEM14C,TMEM90B
475,STAMBP,FLJ36031,LOC595101,NGEF,MAP1LC3C,CDO1,IL1R1,FAM157A,PGA3
476,KNTC1,LOC285419,DPEP2,PRICKLE2,CSRP1,SLC19A3,C22orf15,FAM157B,CCDC69
477,USP38,IL5RA,UBA3,YAP1,CSRNP3,KLHL13,CTU2,FANCF,ORAI2
478,NCF4,GUF1,SOD3,NPC1,ME1,TP53AIP1,SNORA16B,MECOM,ACSM2A
479,FOXK2,PFKFB1,DPEP1,ZWINT,WNT8A,FREM1,SNORA16A,ITGA2B,PRC1
480,SNRNP48,PPP1R10,LSM10,MIA,HAP1,TRIM11,LOC729678,RSPH1,SLCO1A2
481,SAP30BP,WNK2,BHLHE23,PES1,C9orf11,SCNM1,DEFA1B,IFI16,RXRG
482,MRPS31,TDGF3,BLZF1,AGAP11,ABCF1,SCN3B,GNAT2,SOX6,KLF15
483,TRIM10,C20orf30,ZNF276,PDE2A,PAQR9,GRAMD1A,GNAT1,LOC440944,ARF1
484,HSPA12A,HOXC12,NGLY1,STK32A,9-Mar,CALCOCO1,CKMT1B,TTC1,SGOL1
485,LOC84989,FAM7A2,CDKN3,SETBP1,PHTF2,LEPRE1,C7orf65,C9orf128,MCAM
486,HSPA12B,TUFT1,OR8I2,PKD2,SLC5A11,CES1,DBX1,C9orf129,F8
487,TBC1D7,ZNF250,TXK,RCBTB2,GEM,SYNE1,C7orf64,MYT1L,AKAP6
488,MRPS33,GRIK5,PAPSS2,MCFD2,HM13,SEMA3G,C7orf63,C9orf125,SGK2
489,MRPS30,TMEM90B,TXN,NAALADL1,GABRB3,PDK4,TMPRSS11BNL,C9orf122,CSN1S1
490,HCFC1R1,ADAM33,PAPSS1,PTGIS,PLA2R1,MPDZ,BLOC1S1,CEPT1,ZFP106
491,SNORD116-18,OR1N2,UBXN1,NUP210,TPPP2,RDH5,BLOC1S2,KIAA1267,C9orf125
492,TBC1D2,C17orf100,MUTYH,ARAP3,ELP3,NINJ1,PPHLN1,RTCD1,CNIH2
493,LOC100131434,WWC1,NIT1,AKR1A1,FAM126A,GIMAP8,LHX1,CFHR2,SC65
494,MRPS35,FRY,ENTPD8,WIF1,PCDHGB7,TDRD10,KIAA0317,CFHR3,AGAP11
